"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 05:07:46 UTC 2022","Thu Aug 11 05:07:47 UTC 2022","1282","","Coupons API tests","","Coupons API tests","can update a coupon","can update a coupon",""
"passed","Thu Aug 11 05:08:49 UTC 2022","Thu Aug 11 05:08:53 UTC 2022","3319","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"passed","Thu Aug 11 05:09:25 UTC 2022","Thu Aug 11 05:09:30 UTC 2022","4772","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'refunded'","can create an order with status 'refunded'",""
"passed","Thu Aug 11 05:10:01 UTC 2022","Thu Aug 11 05:10:07 UTC 2022","5549","","Orders API tests: CRUD Delete an order","","Orders API tests: CRUD Delete an order","can permanently delete an order","can permanently delete an order",""
"failed","Thu Aug 11 05:06:21 UTC 2022","Thu Aug 11 05:06:23 UTC 2022","1597","","Orders API tests","","Orders API tests","can create an order","can create an order",""
"failed","Thu Aug 11 05:07:04 UTC 2022","Thu Aug 11 05:07:10 UTC 2022","5586","","Orders API tests List all orders","","Orders API tests List all orders","dp (precision)","dp (precision)",""
"failed","Thu Aug 11 05:04:25 UTC 2022","Thu Aug 11 05:04:28 UTC 2022","3122","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","price","price",""
"failed","Thu Aug 11 05:04:17 UTC 2022","Thu Aug 11 05:04:21 UTC 2022","3467","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","title","title",""
"failed","Thu Aug 11 05:06:52 UTC 2022","Thu Aug 11 05:06:56 UTC 2022","3673","","Orders API tests List all orders","","Orders API tests List all orders","parent","parent",""
"passed","Thu Aug 11 05:09:51 UTC 2022","Thu Aug 11 05:09:53 UTC 2022","1815","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'failed'","can update status of an order to 'failed'",""
