"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 26 09:09:30 UTC 2022","Thu May 26 09:09:31 UTC 2022","1501","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'on-hold'","can update status of an order to 'on-hold'",""
"passed","Thu May 26 09:10:25 UTC 2022","Thu May 26 09:10:30 UTC 2022","4803","","Refunds API tests","","Refunds API tests","can delete a refund","can delete a refund",""
"passed","Thu May 26 09:09:08 UTC 2022","Thu May 26 09:09:11 UTC 2022","2637","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'completed'","can create an order with status 'completed'",""
"failed","Thu May 26 09:05:00 UTC 2022","Thu May 26 09:05:05 UTC 2022","5001","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","price","price",""
"passed","Thu May 26 09:09:16 UTC 2022","Thu May 26 09:09:19 UTC 2022","2926","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'refunded'","can create an order with status 'refunded'",""
"passed","Thu May 26 08:52:13 UTC 2022","Thu May 26 08:52:18 UTC 2022","4224","","Test API connectivity","","Test API connectivity","can access a non-authenticated endpoint","can access a non-authenticated endpoint",""
"passed","Thu May 26 09:07:46 UTC 2022","Thu May 26 09:07:49 UTC 2022","3301","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","id","id",""
"passed","Thu May 26 09:08:22 UTC 2022","Thu May 26 09:08:23 UTC 2022","1350","","Coupons API tests List coupons","","Coupons API tests List coupons","can paginate results","can paginate results",""
"failed","Thu May 26 09:05:30 UTC 2022","Thu May 26 09:05:31 UTC 2022","1038","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (desc)","rating (desc)",""
"passed","Thu May 26 09:09:22 UTC 2022","Thu May 26 09:09:24 UTC 2022","1480","","Orders API tests: CRUD Retrieve an order","","Orders API tests: CRUD Retrieve an order","can retrieve an order","can retrieve an order",""
"failed","Thu May 26 09:05:24 UTC 2022","Thu May 26 09:05:27 UTC 2022","3238","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","slug","slug",""
"passed","Thu May 26 08:52:18 UTC 2022","Thu May 26 08:52:19 UTC 2022","1461","","Test API connectivity","","Test API connectivity","can access an authenticated endpoint","can access an authenticated endpoint",""
"passed","Thu May 26 09:10:12 UTC 2022","Thu May 26 09:10:14 UTC 2022","2423","","Shipping zones API tests","","Shipping zones API tests","can delete a shipping zone","can delete a shipping zone",""
"failed","Thu May 26 09:09:00 UTC 2022","Thu May 26 09:09:05 UTC 2022","5001","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'processing'","can create an order with status 'processing'",""
"passed","Thu May 26 09:09:41 UTC 2022","Thu May 26 09:09:44 UTC 2022","2809","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can pay for an order","can pay for an order",""
"passed","Thu May 26 09:10:08 UTC 2022","Thu May 26 09:10:09 UTC 2022","1106","","Shipping zones API tests","","Shipping zones API tests","can retrieve a shipping zone","can retrieve a shipping zone",""
"failed","Thu May 26 09:04:57 UTC 2022","Thu May 26 09:04:58 UTC 2022","1318","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","type","type",""
"passed","Thu May 26 09:10:06 UTC 2022","Thu May 26 09:10:08 UTC 2022","1409","","Shipping zones API tests","","Shipping zones API tests","can create a shipping zone","can create a shipping zone",""
"failed","Thu May 26 09:05:08 UTC 2022","Thu May 26 09:05:10 UTC 2022","2330","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","status","status",""
"passed","Thu May 26 09:07:29 UTC 2022","Thu May 26 09:07:31 UTC 2022","1809","","Orders API tests List all orders","","Orders API tests List all orders","product","product",""
"failed","Thu May 26 09:05:16 UTC 2022","Thu May 26 09:05:21 UTC 2022","5001","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","id","id",""
"passed","Thu May 26 09:08:07 UTC 2022","Thu May 26 09:08:10 UTC 2022","3243","","Coupons API tests","","Coupons API tests","can permanently delete a coupon","can permanently delete a coupon",""
"passed","Thu May 26 09:09:38 UTC 2022","Thu May 26 09:09:39 UTC 2022","1493","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
